Height,Weight,HandSize,ArmLength,FortyTime,TwentyTime,TenTime,Bench,Vertical,BroadJump,Shuttle,ThreeCone,SixtyShuttle,LastYearRecAvg,CareerRecAvg,LastYearReturnAvg,CareerReturnAvg,DraftRound,College,DraftYear,CareerRec,LastYearRec
74.88,199.0,,,,,,,,,,,,16.5,17.9,0,0,0,Texas Christian,2018,735,33
74.25,197.0,,,4.55,2.65,1.58,9.0,37.0,121.0,4.23,6.89,,0,0,0,0,0,Boise State,2018,0,0
74.88,215.0,,,4.53,2.63,1.59,,33.5,,,,,16.0,14.7,0,0,7,Georgia,2018,910,720
67.88,186.0,,,,,,,,,,,,0,0,22.9,24.2,0,UCLA,2017,0,0
73.25,189.0,9.0,32.0,4.44,2.59,1.53,8.0,29.5,125.0,4.28,6.98,11.39,12.3,14.5,24.3,24.8,5,South Florida,2017,1976,822
74.75,197.0,9.38,31.75,4.42,2.59,1.54,8.0,34.5,123.0,4.14,6.73,,13.0,13.7,0,0,0,Mississippi,2017,1454,456
72.38,216.0,,,,,,,,,,,,0,0,0,0,0,Nebraska,2017,0,0
72.25,200.0,,,,,,,,,,,,0,0,0,0,0,Tulsa (OK),2017,0,0
68.13,178.0,9.0,31.13,4.54,2.66,1.59,9.0,32.0,117.0,4.22,6.83,11.14,11.8,11.0,23.8,22.4,0,Oregon State,2017,1863,542
73.25,203.0,9.13,32.5,4.68,2.71,1.61,9.0,34.0,125.0,4.21,6.73,12.21,0,0,0,0,0,Eastern Washington,2017,0,0
75.38,254.0,10.38,33.0,4.7,2.75,1.64,23.0,29.0,118.0,4.14,,11.75,0,0,0,0,0,Shepherd (WV),2017,0,0
74.0,222.0,9.13,31.75,,,,19.0,,,4.33,7.07,,12.6,12.5,,23.0,7,Ohio State,2017,411,402
71.13,182.0,8.88,30.75,4.41,2.6,1.58,13.0,37.0,119.0,4.2,,,14.0,16.0,,16.3,0,Baylor,2017,3113,1215
74.75,204.0,9.13,33.25,4.47,2.67,1.66,10.0,35.5,132.0,4.09,6.7,,14.3,14.4,,33.7,4,Michigan,2017,1639,500
72.13,195.0,9.75,32.25,4.45,2.61,1.58,10.0,34.0,122.0,4.39,,,12.0,13.4,,24.3,7,Miami (FL),2017,2218,754
73.75,214.0,9.88,32.63,4.45,2.58,1.52,17.0,36.0,124.0,4.26,,11.88,15.1,13.7,0,0,3,Michigan,2017,2062,862
74.75,209.0,9.13,33.0,,,,,,,4.28,,11.48,15.5,15.9,0.0,0.0,1,Western Michigan,2017,5278,1500
69.0,179.0,,,,,,,,,,,,9.4,7.8,0,0,0,Auburn,2017,650,160
71.63,158.0,,,,,,,,,,,,0,0,0,0,0,Georgia,2017,0,0
71.75,182.0,,,,,,,,,,,,16.5,13.4,19.4,22.7,0,Texas Tech,2017,1301,247
74.75,219.0,9.63,33.0,4.44,2.6,1.58,19.0,41.0,136.0,4.28,6.82,11.77,0,0,0,0,0,Georgia State,2017,0,0
74.13,196.0,9.0,31.5,4.52,2.65,1.57,11.0,39.5,135.0,4.26,7.19,,14.5,16.4,0,0,7,Louisiana State,2017,1609,593
73.0,202.0,9.0,32.0,4.57,2.7,1.63,,30.5,,4.55,7.29,,10.0,17.2,0,0,0,Louisiana State,2017,1716,280
73.25,208.0,9.13,32.0,4.49,2.62,1.58,14.0,31.0,126.0,4.32,6.95,,15.8,15.5,0,0,0,Syracuse,2017,1920,1482
73.25,194.0,9.25,32.63,4.61,2.69,1.61,14.0,35.5,127.0,4.34,6.94,,13.8,14.1,0,0,7,Virginia Tech,2017,2967,1094
76.13,202.0,,,,,,,,,,,,16.0,11.9,0,0,0,Florida,2017,499,112
71.13,191.0,8.88,32.0,4.5,2.63,1.61,8.0,32.0,118.0,4.2,6.83,11.79,22.1,22.6,21.8,23.5,5,West Virginia,2017,1898,951
73.0,209.0,,,4.42,2.58,1.54,19.0,36.0,125.0,4.0,7.01,,16.6,15.7,0,0,3,Penn State,2017,2421,982
75.75,218.0,9.75,32.0,4.5,2.64,1.58,18.0,35.5,120.0,4.15,7.0,,13.3,14.3,0,0,3,Northern Illinois,2017,2285,1156
67.88,184.0,,,,,,,,,,,,11.9,15.9,22.5,21.3,0,Texas Christian,2017,857,119
74.13,209.0,,,,,,,,,,,,16.6,15.7,0,0,0,Arizona,2017,1241,382
73.75,202.0,10.13,32.13,4.53,2.63,1.59,11.0,35.0,119.0,4.13,6.74,11.17,13.6,13.5,0,0,4,California,2017,1498,1249
72.63,197.0,,,,,,,,,,,,12.6,11.7,0,0,0,Illinois,2017,841,314
73.25,212.0,9.5,32.0,4.64,2.72,1.64,16.0,,,4.28,,,16.9,14.4,20.0,22.3,0,Arkansas,2017,1866,743
70.75,199.0,9.13,31.38,4.46,2.61,1.61,13.0,36.0,131.0,4.35,7.18,,18.7,19.6,32.2,26.5,3,Louisiana Tech,2017,2878,1535
74.63,222.0,9.88,32.13,4.56,2.62,1.56,13.0,36.5,124.0,4.21,6.74,,0,0,0,0,0,Marian (IN),2017,0,0
75.75,221.0,9.75,33.25,4.53,2.64,1.6,,,,,,,19.3,20.6,0,0,4,North Carolina,2017,1667,309
67.0,160.0,,,,,,,,,,,,0,0,23.1,23.7,0,Mississippi State,2017,0,0
75.63,221.0,10.38,33.13,4.58,2.67,1.59,,37.5,,4.14,6.95,,15.6,14.3,0,0,0,North Carolina,2017,1770,827
73.88,201.0,9.0,32.5,4.45,2.61,1.55,15.0,36.5,133.0,4.01,6.79,,0,0,0,0,0,East Carolina (NC),2017,0,0
73.75,204.0,9.5,31.5,4.62,2.69,1.62,,31.0,,4.08,6.75,,0,0,0,0,0,Eastern Washington,2017,0,0
74.13,226.0,9.75,31.5,4.6,2.65,1.56,16.0,35.0,125.0,4.12,6.87,,16.4,17.8,0,0,0,Akron,2017,1800,1018
69.13,192.0,9.88,31.88,4.55,2.66,1.61,11.0,32.5,119.0,4.43,7.23,,14.6,13.5,,20.4,0,Tulsa (OK),2017,3250,1180
74.63,208.0,9.63,31.38,4.4,2.61,1.56,10.0,30.5,121.0,4.19,7.05,11.32,19.4,15.5,0,0,4,Tennessee,2017,1608,972
70.75,189.0,8.75,30.38,4.56,2.66,1.63,11.0,29.5,117.0,4.2,7.01,,10.0,10.9,0,0,0,Washington State,2017,3453,894
67.25,173.0,,,4.42,2.57,1.52,11.0,36.0,123.0,4.15,6.64,,14.4,13.7,0,0,5,Georgia,2017,823,633
72.88,199.0,,,,,,,,,,,,18.8,16.4,,16.8,0,Nebraska,2017,981,375
72.63,219.0,,,,,,,,,,,,0,0,0,0,0,East Central (OK),2017,0,0
71.75,190.0,9.5,30.38,4.74,2.76,1.62,10.0,30.0,112.0,4.12,6.85,11.31,11.4,12.8,0,0,0,Arkansas,2017,1763,739
71.13,199.0,9.25,30.0,,,,18.0,43.5,133.0,,,,15.5,12.9,20.8,23.0,0,Texas A&M,2017,1134,325
74.5,221.0,,,,,,,,,,,,14.1,14.2,0,0,0,Stanford,2017,482,113
73.75,219.0,10.0,32.0,4.55,2.61,1.54,14.0,36.0,126.0,4.29,7.11,,14.6,13.8,26.3,22.8,0,Old Dominion (VA),2017,2664,946
72.25,186.0,9.0,30.75,4.6,2.68,1.62,11.0,31.0,115.0,4.39,7.0,,17.1,16.1,0,0,0,Louisville,2017,2032,769
72.13,193.0,9.25,32.5,4.42,2.56,1.53,,36.5,,4.19,6.77,,11.5,16.2,12.0,12.0,0,Stanford,2017,1681,367
74.75,194.0,9.38,31.5,4.52,2.64,1.56,,37.0,,4.13,6.83,11.68,17.0,17.0,0,0,4,Texas A&M,2017,2788,1039
74.75,220.0,10.88,32.38,4.62,2.7,1.62,13.0,31.5,120.0,4.46,6.77,,27.4,22.5,0,0,0,Air Force,2017,2697,959
72.63,216.0,10.13,32.0,,,,8.0,26.5,112.0,4.54,7.22,11.39,12.4,11.7,0,0,0,Southern California,2017,1487,696
72.63,213.0,9.25,31.25,4.51,2.61,1.56,10.0,35.0,113.0,4.28,6.99,,12.7,12.7,0,0,0,Mississippi State,2017,2528,917
70.75,188.0,8.75,31.5,4.22,2.47,1.49,,37.0,,4.33,,,14.2,15.2,24.2,24.1,1,Washington,2017,1729,1150
72.25,189.0,9.25,31.88,4.65,2.73,1.6,12.0,31.5,114.0,4.46,6.93,,15.0,15.1,0,0,0,Florida State,2017,2311,840
71.0,196.0,9.5,31.25,4.31,2.56,1.55,18.0,37.0,119.0,4.33,7.09,,0,0,,21.6,2,Ohio State,2017,0,0
70.88,196.0,,,,,,,,,,,,14.6,12.1,,23.8,0,Arkansas State,2017,929,553
70.25,193.0,9.38,31.0,4.61,2.7,1.64,13.0,31.0,116.0,4.49,7.19,,8.1,10.1,23.3,23.7,0,Clemson,2017,2480,614
76.63,243.0,9.63,33.13,4.69,2.75,1.63,17.0,28.0,121.0,4.33,7.46,,12.8,11.7,10.0,10.0,0,Texas A&M,2017,1442,333
70.25,200.0,,,,,,,,,,,,14.9,12.7,21.3,23.2,0,Michigan State,2017,1471,789
72.25,183.0,,,,,,,,,,,,0,0,0,0,0,Ohio State,2017,0,0
73.25,215.0,10.5,32.88,4.54,2.65,1.55,15.0,32.5,120.0,5.01,,,0,0,0,0,0,Southern California,2017,0,0
75.25,213.0,,,,,,,,,,,,13.5,14.3,0,0,0,Oregon,2017,1383,175
75.0,195.0,9.5,33.5,4.51,2.62,1.59,,36.0,,4.14,,,17.1,16.8,,19.0,0,Louisville,2017,1901,615
76.0,212.0,,,,,,,,,,,,15.7,15.0,0,0,0,Auburn,2017,751,487
71.25,204.0,9.38,32.5,4.49,2.63,1.59,,34.0,,4.21,,11.23,16.0,13.3,20.1,19.1,3,Alabama,2017,1713,864
73.38,210.0,,,,,,,,,,,,0,0,0,0,0,Pittsburgh,2017,0,0
73.88,218.0,,,,,,,,,,,,15.6,14.5,0,0,0,Mississippi,2017,1478,716
68.5,181.0,9.25,28.0,4.51,2.63,1.56,11.0,32.0,116.0,4.0,6.77,11.14,11.6,11.9,0,0,4,North Carolina,2017,2903,1112
71.0,203.0,9.25,32.63,4.5,2.56,1.52,13.0,33.5,132.0,4.21,6.57,,17.7,16.7,,13.5,3,Western Kentucky,2017,4234,1730
67.63,181.0,8.25,28.75,4.63,2.67,1.58,13.0,33.0,117.0,4.01,6.74,,13.3,12.8,0,0,5,Louisiana Tech,2017,4179,1803
72.13,205.0,8.75,30.0,4.63,2.68,1.63,9.0,32.5,118.0,,,,11.8,12.2,0,0,0,Connecticut,2017,2235,1179
71.13,171.0,,,,,,,,,,,,0,0,21.8,22.2,0,Florida,2017,0,0
70.0,201.0,,,,,,,,,,,,11.6,11.2,0,0,0,Kentucky,2017,1254,266
70.5,182.0,,,,,,10.0,,,,,,0,0,0,0,0,Houston,2017,0,0
71.63,178.0,,,,,,,,,,,,19.1,18.0,27.1,27.1,4,Oklahoma,2017,2267,1524
71.25,194.0,,,,,,,,,,,,13.8,14.8,0,0,0,Nebraska,2017,2474,526
73.88,205.0,,,,,,,,,,,,13.2,12.9,0,0,0,Wisconsin,2017,890,448
67.75,185.0,,,4.44,2.61,1.57,8.0,32.5,120.0,4.37,7.17,,11.6,13.3,22.9,25.4,0,Florida State,2017,1427,395
72.5,207.0,,,,,,,,,,,,0,0,0,0,0,Grambling State (LA),2017,0,0
74.38,209.0,,,,,,,,,,,,19.3,17.6,0,0,0,Massachusetts,2017,827,520
75.75,218.0,9.38,33.38,,,,15.0,32.5,121.0,,,,13.9,15.4,0,0,1,Clemson,2017,2727,1361
70.13,183.0,,,,,,,,,,,,13.0,12.0,20.7,24.2,0,Ohio State,2017,925,352
69.13,189.0,,,4.57,2.66,1.58,10.0,,119.0,4.57,,,13.0,11.7,0,0,0,Florida State,2017,1562,390
73.63,220.0,,,,,,,,,,,,19.4,16.6,0,0,5,Purdue,2017,2344,951
75.5,224.0,,,,,,,,,,,,12.8,13.1,,28.4,0,Baylor,2017,941,809
69.25,197.0,9.13,29.5,4.66,2.69,1.61,13.0,34.5,116.0,4.14,6.95,11.53,12.8,13.3,0,0,0,Oregon,2016,1937,804
75.25,196.0,9.5,32.88,4.67,2.74,1.65,,33.0,,4.28,7.4,11.54,13.6,14.0,0,0,0,Illinois,2016,1480,882
74.88,187.0,,,,,,,,,,,,13.4,15.2,14.4,18.2,0,Temple,2016,1730,939
69.38,182.0,9.25,31.25,4.72,2.73,1.63,,33.0,,,,,12.6,12.0,,22.7,7,Houston,2016,1686,1221
76.5,227.0,,,,,,,,,,,,0,0,0,0,0,Schwabisch Hall,2016,0,0
73.5,197.0,9.75,32.0,4.58,2.66,1.59,11.0,34.0,119.0,4.35,6.9,,10.2,13.2,23.4,24.4,2,Pittsburgh,2016,3361,926
69.88,175.0,,,,,,,,,,,,12.7,11.8,0,0,7,Western Michigan,2016,2499,1367
74.0,194.0,9.0,32.25,,,,,,,,,,12.4,13.6,0,0,0,Notre Dame,2016,1410,597
72.0,206.0,8.25,31.63,4.56,2.71,1.63,20.0,30.5,115.0,4.31,7.22,11.9,14.8,13.2,0,0,6,Michigan State,2016,2174,1258
75.75,234.0,10.75,33.0,4.62,2.7,1.6,12.0,36.0,123.0,4.2,6.49,11.5,14.2,17.7,0,0,0,Stanford,2016,1589,383
71.88,211.0,9.63,31.38,4.5,2.63,1.59,14.0,35.5,120.0,,,,20.7,19.5,-4.0,-4.0,3,Rutgers,2016,2373,809
70.63,194.0,9.0,30.25,,,,17.0,40.5,129.0,,,,18.4,17.4,12.0,26.0,1,Baylor,2016,3009,1363
71.13,203.0,9.13,32.25,,,,15.0,31.0,115.0,,,,14.7,15.7,0,0,4,South Carolina,2016,2163,973
74.63,205.0,,,4.47,2.6,1.54,14.0,31.5,119.0,,,,17.4,15.6,0,0,6,Mississippi,2016,1297,644
75.38,218.0,,,,,,,,,,,,11.6,12.8,3.0,7.7,0,North Carolina,2016,2614,638
73.13,188.0,10.0,31.0,4.42,2.57,1.51,11.0,38.5,124.0,4.22,6.6,10.94,16.8,15.3,21.4,24.7,5,California,2016,1672,672
74.0,202.0,9.88,31.88,4.5,2.62,1.58,14.0,41.0,131.0,4.08,6.84,11.06,17.0,14.8,0,0,1,Texas Christian,2016,3177,1326
70.25,193.0,9.25,30.5,4.57,2.65,1.58,14.0,35.5,117.0,4.07,6.75,11.12,0,0,,16.0,0,Arizona State,2016,0,0
72.0,194.0,,,,,,,,,,,,10.8,9.1,24.2,22.8,7,UCLA,2016,1322,259
72.13,186.0,8.25,30.75,4.32,2.51,1.51,10.0,33.5,126.0,4.27,6.93,11.44,0,0,0,0,0,Notre Dame,2016,0,0
75.38,220.0,9.0,34.5,4.53,2.7,1.62,14.0,36.5,128.0,4.33,7.3,11.72,16.5,14.7,0,0,0,Tulsa (OK),2016,3209,1588
65.88,165.0,,,,,,,,,,,,14.1,12.9,26.1,24.9,6,Texas Tech,2016,3286,1268
73.38,196.0,9.75,32.25,4.64,2.7,1.63,13.0,32.0,116.0,,,,14.3,15.3,0,0,5,Colorado State,2016,3648,1061
68.13,185.0,,,,,,,,,,,,0,0,0,0,0,West Alabama,2016,0,0
72.63,190.0,9.88,32.88,4.54,2.67,1.62,8.0,31.5,123.0,,,,27.1,19.4,22.0,20.9,0,Cincinnati,2016,892,461
68.38,184.0,,,,,,,,,,,,11.2,10.3,24.0,22.2,0,Texas,2016,873,415
72.88,204.0,,,,,,,,,,,,10.8,13.0,,19.7,0,Texas,2016,793,130
74.63,209.0,9.25,32.75,4.65,2.74,1.65,9.0,33.5,,4.14,6.99,11.46,16.2,14.9,,44.0,0,Arizona,2016,1926,907
73.75,211.0,,,,,,,,,,,,18.5,17.2,0,0,0,Appalachian State (NC),2016,1048,463
74.5,203.0,10.5,33.38,4.64,2.71,1.65,,31.0,,4.2,7.13,11.28,12.7,11.9,0,0,7,California,2016,1706,658
72.38,201.0,9.75,32.0,4.57,2.73,1.64,8.0,33.5,116.0,,,,18.2,16.7,0,0,0,Bowling Green (OH),2016,2638,1544
72.0,197.0,8.25,31.38,4.39,2.63,1.6,15.0,35.5,129.0,,,,19.9,19.4,19.0,22.1,6,Texas Christian,2016,1432,597
73.75,215.0,9.5,32.38,4.43,2.61,1.57,18.0,38.0,132.0,,,,15.6,13.7,22.0,20.9,4,Auburn,2016,1338,716
72.5,201.0,,,,,,,,,,,,16.3,14.7,39.0,39.0,7,Arizona State,2016,1826,1074
69.38,201.0,9.5,30.25,,,,17.0,,,,,,0,0,27.5,23.7,0,Oregon,2016,0,0
70.5,200.0,9.63,31.5,4.6,2.68,1.59,16.0,37.5,125.0,4.13,6.8,,13.3,13.2,0,0,0,Ohio State,2016,976,477
77.63,222.0,,,,,,,,,,,,13.6,13.7,0,0,0,Brigham Young,2016,2083,737
68.13,191.0,,,,,,,,,,,,10.6,11.1,12.9,16.7,0,Minnesota,2016,1190,773
75.63,207.0,9.5,30.63,4.55,2.69,1.62,12.0,35.0,123.0,4.63,7.08,11.89,0,0,0,0,0,Cincinnati,2016,0,0
69.88,174.0,,,,,,,,,,,,11.9,10.8,,21.5,0,Washington,2016,2187,692
73.38,201.0,9.13,31.75,4.5,2.66,1.6,17.0,35.0,123.0,4.07,6.65,10.84,0,0,0,0,3,Ohio State,2016,0,0
71.63,198.0,10.5,32.63,4.45,2.57,1.54,15.0,36.0,129.0,4.34,6.94,,14.9,13.5,4.0,21.4,4,Georgia,2016,2350,865
73.0,206.0,9.38,33.38,4.53,2.65,1.58,10.0,37.0,130.0,4.2,6.76,11.37,21.8,19.3,27.8,20.5,4,Cincinnati,2016,2301,870
75.63,211.0,,,,,,,,,,,,16.7,15.4,0,0,0,Mississippi State,2016,708,100
71.0,194.0,,,,,,,,,,,,12.7,12.7,26.5,13.6,0,Oklahoma,2016,1323,559
66.25,159.0,,,,,,,,,,,,0,0,0,0,0,Tuskegee (AL),2016,0,0
74.5,223.0,10.25,33.38,4.48,2.66,1.59,17.0,35.0,123.0,4.13,6.9,,9.7,11.8,0,0,0,Tennessee,2016,874,58
73.13,207.0,10.13,32.5,4.47,2.6,1.57,,34.5,,4.33,7.08,,14.2,13.4,0,0,5,UCLA,2016,2701,1105
74.38,209.0,9.25,34.0,4.45,2.65,1.63,12.0,35.5,122.0,4.46,6.96,11.69,14.3,11.8,,11.0,7,Clemson,2016,1172,716
70.88,207.0,,,,,,,,,,,,,9.9,0,0,0,Florida,2016,188,
74.88,220.0,,,,,,,,,,,,11.9,12.0,,-1.0,0,California,2016,1253,560
73.38,203.0,9.5,33.0,4.59,2.68,1.59,,34.5,,4.19,6.77,,11.1,12.9,0,0,4,Florida,2016,1353,520
73.25,188.0,,,,,,,,,,,,16.3,12.5,0,0,0,Utah State,2016,552,326
75.63,206.0,9.5,33.88,4.54,2.68,1.63,12.0,29.5,112.0,4.33,7.18,11.88,17.2,15.2,23.0,12.0,0,Toledo,2016,3076,618
72.88,199.0,9.38,31.38,,,,17.0,32.5,116.0,,,,13.4,13.7,27.0,27.0,0,Miami (FL),2016,1247,695
74.13,212.0,,,,,,,,,,,,14.1,13.6,,0.0,0,Virginia,2016,1371,747
71.5,198.0,9.38,31.63,4.58,2.71,1.64,12.0,32.5,116.0,4.19,7.12,11.4,11.8,12.9,35.4,30.3,0,Utah State,2016,1774,835
74.0,194.0,8.38,32.25,4.55,2.61,1.55,11.0,33.5,114.0,,,,11.9,12.6,0,0,5,Massachusetts,2016,3486,1319
70.25,194.0,9.75,30.38,4.48,2.6,1.55,20.0,41.0,123.0,4.35,7.0,,15.0,14.9,0,0,2,Oklahoma,2016,3482,1288
70.63,195.0,,,,,,,,,,,,14.4,14.2,0,0,0,Temple,2016,453,288
73.13,206.0,10.0,30.0,4.69,2.72,1.63,12.0,35.0,114.0,4.2,7.09,11.9,11.8,11.4,0,0,0,Colorado,2016,3347,1053
74.75,212.0,10.5,32.13,4.57,2.63,1.55,18.0,35.0,126.0,4.13,6.8,11.7,0,0,0,0,0,Ohio State,2016,0,0
73.25,193.0,,,,,,,,,,,,0,0,0,0,0,Southern Mississippi,2016,0,0
74.0,221.0,9.5,33.38,,,,12.0,33.0,117.0,,,,14.1,11.8,,3.0,1,Mississippi,2016,2393,1153
71.38,190.0,,,,,,,,,,,,21.2,12.9,0,0,0,California,2016,2506,956
71.88,190.0,,,,,,,,,,,,0,0,,20.6,0,North Carolina,2016,0,0
71.75,188.0,,,,,,,,,,,,15.2,15.5,0,0,0,Miami (FL),2016,1534,624
74.63,191.0,,,,,,,,,,,,0,0,0,0,0,Youngstown State (OH),2016,0,0
74.25,229.0,,,4.72,2.78,1.7,14.0,30.0,121.0,4.47,7.43,,0,0,0,0,0,Auburn,2016,0,0
76.63,224.0,9.25,33.88,4.85,2.84,1.71,,28.0,,,,,15.3,14.7,0,0,0,Mississippi State,2016,1936,905
72.13,198.0,9.25,32.25,4.42,2.59,1.59,12.0,,,,,,12.6,14.4,0,0,1,Southern California,2015,2572,1313
68.5,180.0,9.38,31.25,4.43,2.64,1.64,13.0,34.0,121.0,4.07,6.64,11.22,14.5,16.3,28.6,26.3,7,West Virginia,2015,1497,945
73.13,187.0,9.38,31.63,4.53,,,13.0,,,,,,16.1,15.5,,20.9,0,Utah,2015,2077,355
73.0,195.0,,,4.56,,,,,,,,,0,0,0,0,0,Washburn (KS),2015,0,0
73.13,197.0,9.25,31.63,4.42,2.59,1.57,7.0,41.5,129.0,4.15,6.66,11.6,16.8,14.9,23.9,25.0,5,Nebraska,2015,2689,788
73.63,202.0,10.25,33.63,4.59,,,,,,,,,10.9,12.0,0,0,0,Georgia,2015,1607,404
72.13,205.0,,,4.54,2.62,1.55,17.0,37.0,120.0,4.11,7.04,,0,0,0,0,0,Northern Illinois,2015,0,0
69.25,162.0,,,4.39,,,,,,,,,15.4,18.6,,15.3,0,South Carolina,2015,1265,308
68.5,186.0,,,4.48,,,,,,,,,0,0,0,0,0,Sacramento State (CA),2015,0,0
70.25,190.0,,,4.58,,,,,,,,,0,0,0,0,0,Central Oklahoma,2015,0,0
69.63,195.0,9.0,30.88,4.51,2.67,1.64,10.0,33.0,113.0,4.26,6.97,,12.2,12.2,0,0,6,Utah,2015,523,523
73.38,212.0,9.38,33.38,4.43,2.59,1.55,23.0,41.0,131.0,4.06,6.98,11.81,21.8,21.4,0,0,3,Auburn,2015,1757,741
73.88,213.0,9.88,33.75,4.35,2.54,1.52,18.0,45.0,139.0,4.3,7.06,11.65,18.3,16.6,0,0,3,Georgia,2015,1938,657
75.38,215.0,,,4.56,,,,,,,,,0,0,0,0,0,Gardner-Webb (NC),2015,0,0
72.88,211.0,10.0,31.5,4.42,2.63,1.61,,33.0,,3.98,6.71,,13.9,15.2,0,0,1,Alabama,2015,3463,1727
68.38,185.0,8.75,30.38,4.56,2.71,1.7,10.0,37.0,115.0,4.32,7.17,,12.3,12.9,0,0,4,Duke,2015,3641,1044
73.5,201.0,9.0,31.25,4.62,2.66,1.58,13.0,37.0,122.0,,,,0,0,0,0,0,Notre Dame,2015,0,0
72.88,207.0,,,4.55,,,,,,,,,16.5,14.0,0,0,0,South Florida,2015,2136,594
74.88,220.0,9.5,32.38,4.57,2.66,1.59,16.0,35.5,115.0,4.12,7.25,11.6,17.6,15.0,0,0,0,Nevada Las Vegas,2015,2785,599
74.38,216.0,9.5,32.25,4.58,,,23.0,36.5,124.0,4.18,6.86,11.28,11.8,13.9,0,0,6,Connecticut,2015,2292,521
72.75,196.0,8.25,29.63,4.51,2.65,1.6,,32.5,,4.28,7.14,,16.3,18.1,0,0,0,Central Michigan,2015,3700,980
71.63,190.0,,,4.49,,,,,,,,,0,0,0,0,0,Florida,2015,0,0
72.0,195.0,10.0,31.25,4.46,2.58,1.53,,35.0,,4.32,7.03,,12.8,14.8,23.9,25.8,5,Maryland,2015,2227,792
69.75,185.0,9.38,30.25,4.33,2.57,1.54,13.0,37.0,122.0,4.11,6.7,,24.2,17.6,0,0,1,Miami (FL),2015,2132,871
73.63,195.0,,,4.44,,,,,,,,,16.8,13.5,0,0,0,Florida,2015,1500,353
73.63,231.0,,,4.59,,,,,,,,,0,0,0,0,0,Simon Fraser (Canada),2015,0,0
72.75,220.0,,,4.38,,,,,,,,,12.6,12.1,,19.7,0,Southern California,2015,363,314
73.0,210.0,,,4.55,,,,,,,,,14.9,15.3,24.0,18.2,0,Baylor,2015,749,194
76.25,232.0,9.75,33.5,4.7,2.74,1.66,17.0,38.5,122.0,,,,11.8,13.6,0,0,2,Michigan,2015,1715,733
75.5,217.0,,,4.62,,,,,,,,,0,0,0,0,0,Michigan,2015,0,0
75.0,206.0,9.0,34.5,4.64,,,14.0,36.5,128.0,4.33,7.3,11.72,0,0,0,0,0,Tulsa (OK),2015,0,0
70.25,209.0,9.25,30.75,4.44,2.59,1.56,,,,,,,13.8,15.8,19.0,23.0,0,Baylor,2015,2366,830
72.75,196.0,,,4.54,,,,,,,,,20.0,15.8,0,0,0,Florida State,2015,760,120
77.13,237.0,9.0,32.5,4.49,2.66,1.6,13.0,33.5,119.0,4.45,6.89,11.89,0,0,0,0,0,Oklahoma,2015,0,0
73.0,198.0,,,4.64,,,,,,,,,11.7,13.0,0,0,0,Houston,2015,2612,841
71.38,182.0,9.0,31.63,4.53,2.67,1.63,,36.5,,4.12,6.88,,13.8,14.2,0,0,5,Florida State,2015,3830,1365
72.38,198.0,8.63,30.5,4.6,2.68,1.61,16.0,41.0,132.0,4.15,6.86,,10.2,14.1,27.5,25.4,0,Central Florida,2015,2051,500
70.25,192.0,10.0,32.13,4.56,2.62,1.57,11.0,36.5,114.0,4.21,6.63,,12.3,11.7,0,0,4,East Carolina (NC),2015,4541,1494
70.75,176.0,,,4.53,,,,,,,,,12.2,12.5,0,0,0,California,2015,2030,634
72.88,191.0,8.75,30.88,4.64,2.71,1.69,13.0,32.0,108.0,4.36,7.15,12.26,12.2,12.9,0,0,0,Frenso State (CA),2015,2938,1097
71.88,191.0,,,4.68,,,,,,,,,0,0,0,0,0,New Hampshire,2015,0,0
71.25,193.0,,,4.57,,,,,,,,,10.7,13.3,0,0,0,Kansas,2015,3636,470
74.13,214.0,,,4.59,,,,,,,,,13.0,15.3,0,0,0,Arizona,2015,2310,635
73.75,194.0,10.38,33.0,4.56,,,20.0,24.5,102.0,4.83,7.93,,0,0,0,0,0,West Texas A&M,2015,0,0
72.0,188.0,,,4.47,,,,,,,,,0,0,0,0,0,Texas A&M-Commerce,2015,0,0
70.13,182.0,9.0,32.75,4.63,2.69,1.62,8.0,32.5,119.0,4.19,6.91,,0,0,0,0,0,Alabama,2015,0,0
71.0,197.0,,,4.53,,,,,,,,,0,0,0,0,0,Fordham (NY),2015,0,0
71.38,197.0,,,4.42,,,,,,,,,9.2,11.1,0,0,0,Northwestern,2015,1445,323
71.25,207.0,,,4.57,,,,,,,,,11.5,11.3,0,0,0,Texas A&M,2015,1694,611
74.13,213.0,,,4.57,,,,,,,,,17.9,15.4,,0.0,0,Kansas,2015,1112,537
76.5,209.0,,,4.54,,,,,,,,,0,0,0,0,0,Wisconsin-Whitewater,2015,0,0
75.75,214.0,,,4.58,2.72,1.63,16.0,33.5,119.0,4.28,7.11,,0,0,0,0,0,Central Arkansas,2015,0,0
68.25,184.0,,,4.57,,,,,,,,,11.9,13.8,21.7,22.4,0,Mississippi State,2015,1554,380
74.5,192.0,9.88,32.75,4.61,2.7,1.63,10.0,36.0,114.0,4.13,6.92,11.44,18.4,15.1,0,0,5,Michigan State,2015,2247,1198
69.88,182.0,8.38,30.0,4.4,2.59,1.55,,35.5,,4.07,6.89,11.14,14.3,14.9,20.1,28.5,3,Kansas State,2015,3710,1515
71.63,192.0,9.5,31.0,4.51,2.65,1.6,12.0,34.0,120.0,4.27,6.98,,11.3,14.4,,23.6,0,Maryland,2015,1873,575
68.88,186.0,,,4.46,,,,,,,,,14.8,13.1,10.0,20.4,0,Oregon,2015,891,414
